Profile Name,Start Time,Duration,Attributes,Title,Supplemental Video Type,Device Type,Bookmark,Latest Bookmark,Country
Kids,2019-08-10 08:27:37,00:00:09,,Angry Birds: Säsong 1: Chuck Time / Where's My Crown? / Full Metal Chuck / Another Birthday / Egg Sounds / A Fork in the Friendship / Trampoline / Roughnecks (Avsnitt 1),,Chrome PC (Cadmium),00:01:59,00:01:59,SE (Sweden)
Kids,2019-08-10 08:27:13,00:00:02,,Ultimate Spider-Man: Web Warriors: The Return of the Guardians of the Galaxy (Avsnitt 1),,Chrome PC (Cadmium),00:00:24,00:00:24,SE (Sweden)
Kids,2019-08-10 08:26:38,00:00:22,,Ultimate Spider-Man: Web Warriors: The Return of the Guardians of the Galaxy (Avsnitt 1),,Chrome PC (Cadmium),00:00:22,Not latest view,SE (Sweden)
Lalić,2022-11-12 18:31:29,00:00:36,,The Crown: Säsong 5: Queen Victoria Syndrome (Avsnitt 1),,Apple iPad 10.2 inch 9th Gen Wi-Fi/Cell iPad,00:01:15,00:01:15,SE (Sweden)
Lalić,2022-11-12 18:22:54,00:00:39,,The Crown: Säsong 5: Queen Victoria Syndrome (Avsnitt 1),,Apple iPad 10.2 inch 9th Gen Wi-Fi/Cell iPad,00:00:39,Not latest view,SE (Sweden)
Lalić,2022-11-09 17:18:31,00:00:35,Autoplayed: user action: None; ,Red Notice (Klipp): Red Notice,HOOK,Philips PHTV15AMT0 Smart TV,00:00:35,00:00:35,SE (Sweden)
Lalić,2022-11-09 17:10:19,00:01:56,Autoplayed: user action: None; ,Trailer: Enola Holmes 2,TRAILER,Philips PHTV15AMT0 Smart TV,00:01:56,00:01:56,SE (Sweden)
Lalić,2022-11-07 22:13:45,01:18:16,,Supercool,,Philips PHTV15AMT0 Smart TV,01:27:57,01:27:57,SE (Sweden)
Lalić,2022-11-07 22:13:34,00:00:06,Autoplayed: user action: None; ,Supercool_hook_04_16x9,HOOK,Philips PHTV15AMT0 Smart TV,00:00:06,00:00:06,SE (Sweden)
Lalić,2022-11-07 22:12:15,00:00:58,Autoplayed: user action: None; ,På västfronten intet nytt (Klipp): På västfronten intet nytt,HOOK,Philips PHTV15AMT0 Smart TV,00:00:58,00:00:58,SE (Sweden)
Lalić,2022-11-05 12:39:28,00:11:51,Autoplayed: user action: User_Interaction; ,Supercool,,Philips PHTV15AMT0 Smart TV,00:12:13,Not latest view,SE (Sweden)
Lalić,2022-11-05 12:38:52,00:00:32,Autoplayed: user action: None; ,Supercool_hook_04_16x9,HOOK,Philips PHTV15AMT0 Smart TV,00:00:32,Not latest view,SE (Sweden)
Lalić,2022-11-05 12:38:38,00:00:05,Autoplayed: user action: None; ,The Takeover (Klipp): The Takeover,HOOK,Philips PHTV15AMT0 Smart TV,00:00:05,00:00:05,SE (Sweden)
